Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
car,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,152.0,19.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7538822816453298,0.10679874367993789,0.21805361227025064,46.258727525041685,64.2434008090938,206.73300976330376,77.52685306042311,129.20615670288066,1.2089649693760454,0.45337340971007667,0.7555915596659688,126.04176465792962,0.7370863430288281,10336.146674699245,0.957983193277311,114.0,0.11538461538461539,6.0,0.8846153846153846,46.0,0.04201680672268908,5.0,0.95,0.957983193277311,0.9539748953974896,0.9885261797026503,0.8888888888888888,0.10128015615820495,0.898719843841795,0.1111111111111111,0.8825358851674641,0.8888888888888888,0.8807333492340864,0.9825909268784752,0.001,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,143.0,28.0,0.0,83.62573099415205,16.374269005847953,0.0,0.6107949926841164,0.11287481317855508,0.22931479334024524,48.89051169847807,67.56119298658274,206.73300976330376,82.13844183457634,124.59456792872741,1.2089649693760454,0.4803417651144815,0.7286232042615638,120.96853647641862,0.7074183419673603,9920.112904142094,0.9663865546218487,115.0,0.28846153846153844,15.0,0.7115384615384616,37.0,0.03361344537815126,4.0,0.8846153846153846,0.9663865546218487,0.9236947791164658,0.9848093083387202,0.8362573099415205,0.2232036968879074,0.7767963031120927,0.16374269005847952,0.8395703395703396,0.8362573099415205,0.822586951890871,0.9738265941731924,0.001,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,147.0,24.0,0.0,85.96491228070175,14.035087719298245,0.0,0.6740011120819763,0.10914100388652907,0.2225857855349774,47.271697308352906,65.57627746191793,206.83681145592143,80.09430958296453,126.74250187295691,1.2095719968182541,0.46838777533897386,0.7411842214792802,123.69292622866601,0.7233504457816726,10144.035525802374,0.9747899159663865,116.0,0.19230769230769232,10.0,0.8076923076923077,42.0,0.025210084033613446,3.0,0.9206349206349206,0.9747899159663865,0.946938775510204,0.9877181641887525,0.8596491228070176,0.1565022696601644,0.8434977303398355,0.14035087719298245,0.8390884618954793,0.8596491228070176,0.8404839258640429,0.982326208000149,0.001,0.001,0.0,0.0,4773.0,133170.0,17145.0,?
car,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,137.0,34.0,0.0,80.11695906432749,19.883040935672515,0.0,0.5608761329305135,0.129432624917119,0.24624273657424273,55.94502703412231,72.37764372285964,209.27226247128024,96.59747916664078,112.67478330463946,1.2238144004168434,0.5648975389862034,0.6589168614306401,106.9968480150257,0.6257125614913784,8786.24730171731,0.9327731092436975,111.0,0.17307692307692307,9.0,0.8269230769230769,43.0,0.06722689075630252,8.0,0.925,0.9327731092436975,0.9288702928870293,0.9820620555914673,0.8011695906432749,0.15368902243099933,0.8463109775690006,0.19883040935672514,0.790443912812334,0.8011695906432749,0.7910049831370124,0.9661733948775364,0.001,0.001,0.015625,0.0,4773.0,133170.0,17145.0,?
car,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,144.0,27.0,0.0,84.21052631578948,15.789473684210526,0.0,0.644764176348388,0.1191903191055504,0.23698473488401192,51.517966423346074,69.65645747694929,209.27226247128024,88.41987358575821,120.85238888552203,1.2238144004168434,0.517075284127241,0.7067391162896025,116.41183766203544,0.6807709804797394,9559.376874376487,0.9495798319327731,113.0,0.19230769230769232,10.0,0.8076923076923077,42.0,0.05042016806722689,6.0,0.9186991869918699,0.9495798319327731,0.9338842975206612,0.9726890756302521,0.8421052631578947,0.1593900323040246,0.8406099676959754,0.15789473684210525,0.8348309798887464,0.8421052631578947,0.8341274779164671,0.9612086484932915,0.001,0.001,0.0,0.0,4773.0,133170.0,17145.0,?
car,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,148.0,23.0,0.0,86.54970760233918,13.450292397660819,0.0,0.7054373876572797,0.10669902133351494,0.21953742038415716,46.1188177002534,64.52820260795568,209.27226247128024,77.35973754428632,131.9125249269939,1.2238144004168434,0.45239612598997847,0.771418274426865,129.2792870228078,0.7560192223556013,10616.011666180762,0.9495798319327731,113.0,0.11538461538461539,6.0,0.8846153846153846,46.0,0.05042016806722689,6.0,0.9495798319327731,0.9495798319327731,0.9495798319327731,0.9815772462831286,0.8654970760233918,0.10443753222957333,0.8955624677704267,0.13450292397660818,0.8635034556087188,0.8654970760233918,0.860634587207116,0.9762463455963896,0.001,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,151.0,20.0,0.0,88.30409356725146,11.695906432748538,0.0,0.7413206262763785,0.11719342864117403,0.22669705075437366,50.65484484881837,66.63261869483043,209.27226247128024,83.94626469492637,125.32599777635387,1.2238144004168434,0.4909138286253004,0.7329005717915431,120.29227316655961,0.7034635857693544,9878.026130066017,0.957983193277311,114.0,0.1346153846153846,7.0,0.8653846153846154,45.0,0.04201680672268908,5.0,0.9421487603305785,0.957983193277311,0.95,0.9840012928248222,0.8830409356725146,0.11255820915641199,0.887441790843588,0.11695906432748537,0.8796525177083002,0.8830409356725146,0.8788862419442032,0.9783110181562988,0.001,0.001,0.0,0.0,4773.0,133170.0,17145.0,?
car,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,151.0,19.0,0.0,88.82352941176471,11.176470588235293,0.0,0.7439961956090988,0.10064322447994382,0.2102750209698703,43.74783134553055,62.20076127048566,204.5799124661086,70.01208918051773,134.56782328559086,1.2034112498006388,0.4118358187089278,0.7915754310917109,131.74930390523113,0.774995905324889,10798.835657503636,0.9663865546218487,115.0,0.17647058823529413,9.0,0.8235294117647058,42.0,0.03361344537815126,4.0,0.9274193548387096,0.9663865546218487,0.9465020576131686,0.9889602899983523,0.888235294117647,0.14046345811051694,0.8595365418894831,0.11176470588235295,0.8918783146012748,0.888235294117647,0.8838654204667277,0.986495927067392,0.001,0.001,0.0,0.0,4773.0,133255.0,17060.0,?
car,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,145.0,25.0,0.0,85.29411764705883,14.705882352941176,0.0,0.6736041778665233,0.12477349162211467,0.23716992069453977,54.23683209757479,70.15645296154732,204.5799124661086,87.16142319205262,117.41848927405597,1.2034112498006388,0.5127142540708978,0.690696995729741,111.47437062143258,0.6557315918907799,9137.000141043667,0.9243697478991597,110.0,0.17647058823529413,9.0,0.8235294117647058,42.0,0.07563025210084033,9.0,0.9243697478991597,0.9243697478991597,0.9243697478991597,0.9650683802932938,0.8529411764705882,0.14914568931785574,0.8508543106821443,0.14705882352941177,0.859090909090909,0.8529411764705882,0.8507977914003738,0.9603226479365881,0.001,0.001,0.0,0.0,4773.0,133255.0,17060.0,?
car,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,142.0,28.0,0.0,83.52941176470588,16.470588235294116,0.0,0.6213507278657228,0.12494347844138412,0.23614555464268555,54.02164244182474,69.43435892997503,206.2093665175135,87.73866458082546,118.47070193668804,1.2129962736324325,0.5161097916519145,0.696886481980518,113.06213384467966,0.6650713755569392,9275.176288279352,0.9491525423728814,112.0,0.23076923076923078,12.0,0.7692307692307693,40.0,0.05084745762711865,6.0,0.9032258064516129,0.9491525423728814,0.9256198347107438,0.9778357235984355,0.8352941176470589,0.1882007529964423,0.8117992470035578,0.16470588235294117,0.8474648073783151,0.8352941176470589,0.8219497891207818,0.9716381728345397,0.001,0.001,0.0,0.0,4773.0,133255.0,17060.0,?
