@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

car,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,146,24,0,85.882353,14.117647,0,0.67836,0.110425,0.222721,47.744361,65.487056,206.209367,78.249198,127.960169,1.212996,0.460289,0.752707,124.371443,0.731597,10202.947865,0.957627,113,0.192308,10,0.807692,42,0.042373,5,0.918699,0.957627,0.937759,0.986473,0.858824,0.158001,0.841999,0.141176,0.827699,0.858824,0.841417,0.981663,0.001,0.001,0,0,4773,133255,17060,?
car,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,152,19,0,88.888889,11.111111,0,0.753882,0.106799,0.218054,46.258728,64.243401,206.73301,77.526853,129.206157,1.208965,0.453373,0.755592,126.041765,0.737086,10336.146675,0.957983,114,0.115385,6,0.884615,46,0.042017,5,0.95,0.957983,0.953975,0.988526,0.888889,0.10128,0.89872,0.111111,0.882536,0.888889,0.880733,0.982591,0.001,0.002,0,0,4773,133170,17145,?
car,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,143,28,0,83.625731,16.374269,0,0.610795,0.112875,0.229315,48.890512,67.561193,206.73301,82.138442,124.594568,1.208965,0.480342,0.728623,120.968536,0.707418,9920.112904,0.966387,115,0.288462,15,0.711538,37,0.033613,4,0.884615,0.966387,0.923695,0.984809,0.836257,0.223204,0.776796,0.163743,0.83957,0.836257,0.822587,0.973827,0.001,0.002,0,0,4773,133170,17145,?
car,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,147,24,0,85.964912,14.035088,0,0.674001,0.109141,0.222586,47.271697,65.576277,206.836811,80.09431,126.742502,1.209572,0.468388,0.741184,123.692926,0.72335,10144.035526,0.97479,116,0.192308,10,0.807692,42,0.02521,3,0.920635,0.97479,0.946939,0.987718,0.859649,0.156502,0.843498,0.140351,0.839088,0.859649,0.840484,0.982326,0,0.002,0,0,4773,133170,17145,?
car,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,137,34,0,80.116959,19.883041,0,0.560876,0.129433,0.246243,55.945027,72.377644,209.272262,96.597479,112.674783,1.223814,0.564898,0.658917,106.996848,0.625713,8786.247302,0.932773,111,0.173077,9,0.826923,43,0.067227,8,0.925,0.932773,0.92887,0.982062,0.80117,0.153689,0.846311,0.19883,0.790444,0.80117,0.791005,0.966173,0.001,0.001,0,0,4773,133170,17145,?
car,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,144,27,0,84.210526,15.789474,0,0.644764,0.11919,0.236985,51.517966,69.656457,209.272262,88.419874,120.852389,1.223814,0.517075,0.706739,116.411838,0.680771,9559.376874,0.94958,113,0.192308,10,0.807692,42,0.05042,6,0.918699,0.94958,0.933884,0.972689,0.842105,0.15939,0.84061,0.157895,0.834831,0.842105,0.834127,0.961209,0,0.002,0,0,4773,133170,17145,?
car,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,148,23,0,86.549708,13.450292,0,0.705437,0.106699,0.219537,46.118818,64.528203,209.272262,77.359738,131.912525,1.223814,0.452396,0.771418,129.279287,0.756019,10616.011666,0.94958,113,0.115385,6,0.884615,46,0.05042,6,0.94958,0.94958,0.94958,0.981577,0.865497,0.104438,0.895562,0.134503,0.863503,0.865497,0.860635,0.976246,0.001,0.001,0,0,4773,133170,17145,?
car,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,151,20,0,88.304094,11.695906,0,0.741321,0.117193,0.226697,50.654845,66.632619,209.272262,83.946265,125.325998,1.223814,0.490914,0.732901,120.292273,0.703464,9878.02613,0.957983,114,0.134615,7,0.865385,45,0.042017,5,0.942149,0.957983,0.95,0.984001,0.883041,0.112558,0.887442,0.116959,0.879653,0.883041,0.878886,0.978311,0.001,0.002,0,0,4773,133170,17145,?
car,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,151,19,0,88.823529,11.176471,0,0.743996,0.100643,0.210275,43.747831,62.200761,204.579912,70.012089,134.567823,1.203411,0.411836,0.791575,131.749304,0.774996,10798.835658,0.966387,115,0.176471,9,0.823529,42,0.033613,4,0.927419,0.966387,0.946502,0.98896,0.888235,0.140463,0.859537,0.111765,0.891878,0.888235,0.883865,0.986496,0.001,0.002,0,0,4773,133255,17060,?
car,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,145,25,0,85.294118,14.705882,0,0.673604,0.124773,0.23717,54.236832,70.156453,204.579912,87.161423,117.418489,1.203411,0.512714,0.690697,111.474371,0.655732,9137.000141,0.92437,110,0.176471,9,0.823529,42,0.07563,9,0.92437,0.92437,0.92437,0.965068,0.852941,0.149146,0.850854,0.147059,0.859091,0.852941,0.850798,0.960323,0.002,0.001,0,0,4773,133255,17060,?
